"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"X3D_available";"Genre";"Collection"
36607,45;120,7;9,27;7,95;8,13;7,07;483741;"YES";"Thriller";44400
37496,25;80;6,74;9,32;8,77;9,21;511151;"NO";"Thriller";47800
36696,33;173,5;6,665;6,74;7,91;8,235;561219;"NO";"Thriller";59800
31691,275;151,2;7,99;8,1;7,945;8,075;482381;"NO";"Thriller";32400
35140,93;163;8,9;9,215;6,685;7,94;525189;"YES";"Drama";47700
35246,475;162,8;8,8;8,01;7,7;6,77;294970;"NO";"Thriller";39500
35640,88;161,9;8,5;9,09;8,425;8,92;402950;"YES";"Thriller";47200
35263,14;120,9;8,535;7,825;6,7;7,925;424127;"YES";"Comedy";32400
35540,89;92,6;9,21;8,475;8,04;5,47;417956;"NO";"Thriller";33300
33435,545;173,5;7,375;7,5;8,58;8,955;484343;"NO";"Action";59600
33863,28;170,4;7,965;8,17;8,065;8,28;377048;"YES";"Comedy";27000
37318,49;158,9;8,94;8,055;8,72;8,07;349335;"YES";"Action";38300
32930,04;161,7;8,72;8,795;8,64;8,92;415458;"NO";"Comedy";36600
37668,455;144,8;8,425;8,63;8,44;8,79;491484;"YES";"Thriller";53000
36468,575;96,4;6,335;6,505;6,275;6,25;459056;"NO";"Comedy";49600
34402,115;161,9;8,585;9,07;9,035;9,24;534902;"NO";"Thriller";38800
38168,405;120,9;5,955;6,16;6,055;6,175;503113;"YES";"Thriller";49600
19781,355;161,4;9,185;9,225;9,16;9,205;527849;"YES";"Thriller";55000
35063,16;125,4;7,985;8,075;7,965;7,995;465487;"NO";"Action";42400
33457,765;163,9;8,5;8,665;8,425;8,745;475124;"YES";"Comedy";38800
39479,385;110,1;6,18;6,49;6,3;6,41;511537;"YES";"Action";60600
37224,055;163,5;8,55;8,81;8,685;8,76;401242;"YES";"Thriller";32800
41218,1;141,7;7,315;8,185;9,305;8,675;560909;"NO";"Thriller";76700
32407,87;120,9;8,685;8,29;6,92;8,06;529498;"YES";"Thriller";28600
34402,115;169,6;8,3;9,155;5,94;7,365;516919;"NO";"Drama";10500
35574,22;173,5;9,17;9,32;9,115;9,12;359036;"NO";"Thriller";24200
36329,7;133,2;6,77;6,895;6,705;7,095;494604;"YES";"Thriller";33000
33152,24;163,3;6,725;6,785;8,635;8,41;480695;"YES";"Drama";54600
32124,565;146,2;7,68;7,875;7,7;8,04;378970;"YES";"Comedy";45000
33457,765;171,9;8,01;9,465;9,17;9,45;443766;"YES";"Comedy";31700
32291,215;173,5;7,825;8,01;7,935;8,04;365213;"YES";"Drama";29000
28808,23;158;8,24;6,985;7,73;8,965;528887;"YES";"Action";60800
34357,675;169,5;8,485;8,79;8,855;8,725;430817;"YES";"Thriller";61600
25103,045;173,5;9,13;9,25;9,05;9,255;212912;"YES";"Thriller";14000
33613,305;157,2;9;8,29;7,08;9,125;457225;"YES";"Comedy";35900
33968,825;136,5;6,48;6,63;6,46;6,795;502413;"YES";"Drama";41000
29941,45;172,4;9;9,25;9,025;9,265;369811;"NO";"Action";23000
32635,625;110,4;9,01;8,725;8,42;8,225;436753;"YES";"Comedy";32500
34879,845;148;7,835;8,14;7,87;8,05;478283;"NO";"Comedy";40000
38007,31;135;9,105;7,665;6,5;7,625;483140;"NO";"Drama";48700
35440,9;169,7;9,24;9,39;9,235;9,365;359760;"YES";"Drama";26200
35090,935;156,5;8,48;8,785;8,6;8,665;455177;"NO";"Thriller";39000
32141,23;152,7;8,865;5,575;9,05;9,095;459056;"NO";"Drama";54400
33496,65;171,4;5,69;8,14;9,075;9,155;390279;"YES";"Comedy";38700
38923,885;91,2;5,55;8,92;8,69;9,525;501350;"NO";"Action";35400
31669,055;173,5;5,86;6,94;9,05;6,655;295168;"YES";"Thriller";32700
43440,1;110,4;8,23;8,29;8,2;8,285;544945;"YES";"Action";87600
35724,205;88,2;7,245;7,45;7,215;7,255;533713;"NO";"Comedy";49200
34663,2;153,4;7,27;8,475;8,755;8,87;473988;"NO";"Comedy";35000
33685,52;132,6;7,85;8,005;7,725;7,94;418851;"YES";"Comedy";48800
41173,66;150,4;8,06;8,33;8,065;8,2;540602;"YES";"Comedy";63400
33063,36;173,5;9,08;9,07;8,42;7,935;515362;"NO";"Drama";39000
31074,67;169,5;7,51;8,13;8,815;9;501252;"YES";"Action";45200
32546,745;165,9;9,11;9,23;8,175;8,89;490857;"YES";"Thriller";32800
34585,43;172,3;6,865;8,07;7,25;8,255;502420;"NO";"Thriller";30400
39707,14;173,5;5,955;9,23;7,955;6,185;411880;"YES";"Comedy";38800
35440,9;170,7;8,855;9,26;5,94;8,775;443766;"YES";"Comedy";35200
32641,18;92,6;5,385;5,445;5,26;5,47;459998;"NO";"Comedy";41800
40479,285;107,6;6,21;6,4;6,245;6,525;549247;"YES";"Action";66600
33124,465;138,9;6,08;8,9;9,315;8,14;492574;"YES";"Thriller";56400
32752,28;168,9;8,925;9,145;9,015;9,095;349335;"YES";"Drama";16600
41173,66;112,4;7,5;8,32;7,76;5,68;415458;"YES";"Thriller";46200
34174,36;156,1;9,06;9,275;9,04;9,13;432078;"NO";"Thriller";31200
33318,89;94,9;6,555;6,74;6,565;6,51;496877;"NO";"Thriller";46800
32124,565;163,5;7,77;8,405;8,54;8,63;412194;"YES";"Action";52200
34257,685;106,8;7,085;6,34;8,46;6,43;511643;"NO";"Thriller";41300
32630,07;149,5;8,57;7,05;8,83;8,935;352670;"NO";"Comedy";62100
33696,63;173,5;9,02;9,23;9,05;9,185;483363;"NO";"Thriller";48600
38751,68;164,5;8,83;8,97;8,855;9,01;532239;"NO";"Comedy";47800
35563,11;143,7;7,85;7,545;5,295;6,83;397006;"YES";"Thriller";35000
34257,685;120,2;7,24;7,41;7,165;7,385;485743;"YES";"Drama";45800
35002,055;106,4;9,115;9,31;9,02;8,735;470466;"YES";"Comedy";36700
32646,735;152,7;8,655;8,895;8,71;8,89;468741;"YES";"Drama";47600
30913,575;165,7;9,07;8,79;8,395;8,455;512492;"NO";"Thriller";31100
38612,805;95;6,73;6,82;6,645;6,845;512163;"NO";"Comedy";66000
36801,875;131,3;8,215;8,385;8,12;8,29;489220;"NO";"Thriller";56800
35513,115;102,6;8,85;8,98;8,465;7,49;466796;"NO";"Thriller";42900
33235,565;168;7,185;9,03;9,06;9,1;491464;"NO";"Comedy";32600
31735,715;167,6;7,74;7,91;7,815;8,07;350102;"NO";"Drama";25400
34507,66;170,9;8,92;9,095;8,785;8,955;399154;"NO";"Comedy";35600
32652,29;94,9;6,68;6,8;6,74;6,785;493569;"YES";"Thriller";44000
33891,055;166,5;8,815;8,86;8,705;9,055;471586;"YES";"Thriller";50000
40623,715;171,4;9,19;9,345;9,195;9,635;440970;"NO";"Comedy";30000
35490,895;121,5;7,515;7,645;7,505;7,775;454277;"NO";"Drama";47800
33968,825;134,9;8,955;6,595;8,07;8,59;473168;"NO";"Comedy";55200
34174,36;173,5;8,995;9,07;9,015;9,095;321678;"NO";"Comedy";16400
35052,05;112;6,74;6,83;6,655;6,855;505077;"YES";"Action";41400
33891,055;164,5;7,965;8,625;7,64;8,055;387496;"YES";"Drama";28300
34174,36;171,3;8,8;6,62;7,875;9,03;428936;"YES";"Thriller";43900
31669,055;168,5;8,1;8,165;8,02;8,14;394967;"YES";"Comedy";26200
35751,98;95,8;8,04;9,315;7,16;9,065;369811;"NO";"Comedy";32700
34402,115;160,8;6,285;8,44;9,36;9,55;374797;"YES";"Drama";36500
39634,925;87,4;6,105;6,185;6,015;6,39;535003;"NO";"Drama";65800
21458,965;112;9,155;7,46;7,82;8,225;503151;"NO";"Action";46900
34690,975;79,7;7,32;7,385;7,25;7,47;493124;"YES";"Drama";46800
34807,63;171,8;6,77;6,185;8,83;8,205;269764;"NO";"Comedy";51700
37096,29;165,6;8,345;9,32;9,36;8,42;440004;"YES";"Drama";52400
30935,795;147;8,77;8,805;8,755;8,87;414921;"NO";"Drama";35000
38746,125;88,8;6,015;6,24;6,11;6,33;536549;"YES";"Comedy";69800
34846,515;155,3;6,185;8,805;5,295;8,765;369907;"YES";"Drama";20300
37496,25;148,4;8,28;8,37;8,31;8,38;488266;"NO";"Comedy";47400
34602,095;164,2;8,36;8,605;8,415;8,425;455983;"YES";"Action";39200
33363,33;170,9;6,555;5,91;8,77;8,405;489563;"NO";"Thriller";51500
37668,455;143,2;7,805;7,515;8,63;7,615;442225;"NO";"Thriller";44300
31924,585;172,4;9,135;9,23;9,125;9,24;384688;"NO";"Comedy";17000
39746,025;120,7;4,62;8,22;7,215;8,885;466294;"YES";"Drama";55100
33052,25;125,4;8,17;8,7;8,83;5,99;267965;"YES";"Comedy";23700
41068,115;172,8;8,615;8,845;8,68;8,955;407077;"YES";"Thriller";35600
33496,65;159;7,085;7,18;7,125;7,23;374797;"YES";"Thriller";33200
35635,325;167,6;6,37;8,805;5,85;8,265;467075;"YES";"Thriller";37400
35246,475;93,6;6;6,165;5,985;6,195;517172;"NO";"Drama";45000
33346,665;168;8,68;8,895;8,575;8,77;354464;"NO";"Action";38200
34135,475;169,1;8,345;9,1;6,655;7,44;491484;"YES";"Action";33700
35079,825;146,9;8,325;8,36;8,295;8,38;487150;"YES";"Drama";49200
34229,91;171,9;8,43;8,605;8,1;8,975;567784;"NO";"Thriller";64600
33435,545;138,8;8,66;8,875;8,71;8,94;450933;"YES";"Thriller";42400
35002,055;172,3;9,07;8,7;7,7;8,43;502128;"NO";"Action";39500
41495,85;126,1;8,415;8,69;8,51;8,645;558567;"NO";"Drama";87000
43134,575;170,5;7,99;9,15;8,89;9,58;456271;"NO";"Thriller";51000
43440,1;138;7,51;7,665;7,58;7,855;538611;"NO";"Comedy";90800
35757,535;148,5;8,48;8,685;8,495;8,55;421532;"YES";"Action";46400
35452,01;140,7;8,1;8,325;8,21;8,3;478332;"NO";"Comedy";46200
39018,32;89,3;7,185;7,345;7,235;7,43;567784;"YES";"Thriller";69800
32446,755;134,9;8,305;8,36;8,19;8,39;474433;"NO";"Comedy";40000
36635,225;95,3;7,175;7,325;7,225;7,475;553070;"YES";"Thriller";61600
37957,315;107;8,89;9,23;8,42;8,025;455844;"NO";"Thriller";57700
29713,695;161,9;9,24;9,225;6,865;6,425;499995;"NO";"Comedy";29900
29463,72;170,8;8,86;9,005;8,795;9,135;340338;"NO";"Drama";24000
36396,36;105,7;9,12;6,965;8,295;7,33;308802;"NO";"Drama";43700
35646,435;171,8;8,75;8,945;8,905;9,03;400065;"YES";"Comedy";26000
34035,485;172,3;5,56;6,52;8,02;6,195;405929;"YES";"Comedy";29700
35179,815;90,7;7,32;7,46;7,275;7,515;483051;"NO";"Comedy";45200
32124,565;156,1;9,115;7,035;7,235;6,815;467075;"NO";"Thriller";50400
37074,07;160,8;7,735;8,03;7,82;7,935;466851;"NO";"Thriller";42000
39018,32;118,6;6,87;8,24;8,85;8,63;440004;"NO";"Comedy";51600
32007,91;113,8;7,795;8,055;7,875;8,075;481869;"NO";"Action";43600
34229,91;132,2;6,89;8,63;8,89;5,655;302506;"YES";"Thriller";10000
28636,025;173,5;9,08;9,315;9,195;9,235;375488;"NO";"Thriller";32600
30663,6;173,5;9,145;9,335;9,14;9,31;339764;"NO";"Drama";24600
27841,66;161,5;9,09;9,22;9,05;9,42;455196;"YES";"Comedy";30600
37907,32;167,4;6,98;8,075;6,825;8,705;485496;"NO";"Thriller";37900
34918,73;118,5;7,585;7,75;7,585;8,07;496661;"NO";"Comedy";42800
39323,845;91,3;8,295;6,2;8,23;7,845;490857;"YES";"Action";50000
33863,28;158;7,7;7,9;7,76;7,71;495311;"NO";"Comedy";36400
35179,815;135;8,035;8,595;8,635;8,405;467457;"NO";"Thriller";40700
34341,01;115,9;7,925;8,095;8,02;8,065;456943;"YES";"Drama";50000
36035,285;86,5;6,25;6,34;6,185;6,43;522769;"YES";"Thriller";48800
32163,45;171,6;7,115;8,79;7,45;8,895;401740;"NO";"Comedy";31900
33352,22;158,1;8,8;7,14;7,64;7;560909;"YES";"Action";64000
39018,32;110,7;9,01;8,885;7,83;9,335;492574;"NO";"Comedy";61800
35396,46;79,7;5,34;8,54;7,64;9,21;475124;"NO";"Comedy";38700
35724,205;172,3;9,02;9,195;9,04;9,115;444896;"NO";"Comedy";36000
33235,565;172,3;9,02;9,155;8,97;9,12;382738;"NO";"Comedy";27200
32885,6;135;7,89;8,185;8,015;8,075;442828;"NO";"Action";41400
33246,675;118,9;7,555;7,68;7,475;7,665;457316;"NO";"Drama";38000
34241,02;170,5;8,52;7,875;8,76;6,425;362344;"NO";"Comedy";41500
33063,36;158,2;8,435;8,73;8,46;8,63;389121;"YES";"Comedy";38000
32257,885;127,9;7,685;5,91;9,1;9,12;451515;"NO";"Thriller";51200
32724,505;95,8;7,88;8,19;7,945;8,09;456271;"YES";"Thriller";45200
35963,07;170,6;8,64;8,91;8,73;8,85;473768;"NO";"Action";39600
35635,325;113,6;7,5;7,75;7,49;7,82;528887;"NO";"Thriller";50000
33613,305;156;8,915;9,045;8,76;8,94;412194;"YES";"Thriller";46400
32185,67;162;7,835;9,095;9,025;6,965;484613;"NO";"Comedy";46900
32618,96;173,5;8,36;8,81;8,91;5,795;340669;"NO";"Thriller";20100
40407,07;162,8;8,64;6,845;8,93;8,04;447032;"YES";"Thriller";54000
33352,22;161,4;8,795;7,75;8,66;7,94;387633;"YES";"Comedy";46000
38707,24;165,4;9,17;9,43;9,155;9,41;417588;"YES";"Comedy";20800
37607,35;110,1;4,59;7,45;8,435;6,285;498052;"YES";"Thriller";51500
32424,535;133,2;8,865;9,165;8,905;9,07;401981;"NO";"Comedy";20400
39479,385;173,5;6,28;8,455;6,2;8,14;554735;"NO";"Thriller";48500
34257,685;163,5;8,685;8,875;8,66;8,935;432081;"YES";"Comedy";40200
36051,95;117,9;5,5;5,685;5,445;5,785;530639;"NO";"Thriller";45800
32930,04;173,5;7,64;9,33;8,815;8,895;353650;"YES";"Thriller";32700
22986,59;173,5;9,27;9,495;9,3;9,58;352670;"YES";"Thriller";23800
31069,115;165,7;7,085;4,75;7,955;8,52;373575;"NO";"Thriller";50100
36357,475;169,6;8,96;8,82;9,195;8,64;457225;"YES";"Comedy";44000
34035,485;165,7;6,98;7,68;8,435;7,775;434825;"NO";"Action";43000
31119,11;135,5;6,945;7,05;6,85;6,98;422013;"NO";"Action";38800
36179,715;163,4;8,47;8,695;8,58;8,65;474433;"YES";"Comedy";40400
33729,96;173,5;7,805;7,97;7,76;8,115;436306;"YES";"Comedy";29000
32530,08;170,5;8,89;9,09;8,965;9,165;334417;"YES";"Drama";34600
32146,785;118,5;6,47;8,715;8,98;6,43;502128;"YES";"Comedy";46700
35002,055;157,2;8,45;8,715;8,59;8,675;425095;"NO";"Thriller";29800
37562,91;161,4;8,785;6,34;6,5;7,355;530639;"NO";"Thriller";51500
32752,28;173,5;8,83;7,59;8,345;8,845;395312;"YES";"Thriller";47200
35418,68;164,7;7,935;9,17;7,89;8,85;463628;"YES";"Comedy";48000
35574,22;152,7;7,53;7,305;7,26;8,93;465605;"YES";"Comedy";50000
44823,295;149,5;8,15;8,34;8,215;8,305;543618;"YES";"Thriller";77400
33235,565;157;8,875;9,09;8,94;8,88;434825;"YES";"Thriller";59000
31813,485;143;8,01;8,175;8;8,215;463328;"NO";"Action";36400
31735,715;130,2;8,49;8,705;8,44;8,715;437878;"NO";"Comedy";40200
32502,305;170,2;8,905;9,025;8,935;8,925;430817;"YES";"Comedy";39000
27880,545;173,5;9,185;9,34;9,145;9,45;233100;"YES";"Comedy";28800
35574,22;92,3;6,725;8,36;6,235;7,36;411619;"NO";"Thriller";40400
35246,475;151,3;8,78;7,5;7,44;8,93;449001;"YES";"Comedy";40300
40623,715;145,2;8,9;7,5;9,21;6,89;374897;"YES";"Drama";63100
35140,93;152,7;5,55;8,665;8,92;9,14;531248;"NO";"Thriller";40500
29463,72;162,6;9,135;9,305;9,095;9,165;302776;"YES";"Action";20800
33535,535;108;6,87;7,15;6,865;7,145;477685;"YES";"Comedy";42200
39701,585;138,7;8,65;8,805;7,265;9,085;373575;"NO";"Thriller";40000
32546,745;166,9;8,095;7,84;5,94;8,265;362581;"NO";"Thriller";28100
32546,745;169,5;7,515;9,35;9,16;8,225;510893;"YES";"Drama";26400
33557,755;167;7,32;7,835;6,735;7,765;468741;"YES";"Action";33800
38785,01;121,5;6,62;7,32;8,295;7,28;466851;"NO";"Drama";41000
31263,54;154,3;6,18;6,985;8,655;9,2;417956;"NO";"Action";47100
32630,07;164,7;8,28;8,525;8,095;9,145;399154;"NO";"Thriller";36800
33274,45;133;9,12;8,56;8,815;9,495;412012;"NO";"Comedy";37400
41218,1;145,4;8,345;8,54;8,36;8,555;497990;"YES";"Thriller";66800
32418,98;132,3;7,945;9,27;6,185;8,675;542840;"NO";"Thriller";38500
38107,3;147,9;8,405;8,625;8,395;8,75;513390;"NO";"Comedy";59800
32185,67;144,1;8,48;8,705;8,47;8,56;426044;"YES";"Drama";36600
32235,665;94,9;9,08;8,86;7,585;8,82;410055;"NO";"Drama";61600
35235,365;96,8;5,815;6,66;8,56;7,83;478283;"YES";"Drama";48800
36396,36;132,2;9,215;8,295;7,82;8,3;502420;"YES";"Thriller";62400
34129,92;105,7;6,99;7,225;7,05;6,985;465165;"NO";"Thriller";39600
31713,495;172;9,11;9,32;9,05;9,275;411772;"NO";"Comedy";38800
33441,1;151,2;8,94;7,17;5,71;8,12;528887;"NO";"Action";53500
25103,045;167,8;8,725;6,445;7,8;8,455;526836;"NO";"Comedy";52400
36168,605;94,6;6,49;6,62;6,44;6,815;504792;"NO";"Thriller";50000
37074,07;80;8,42;9,02;6,745;8,955;447032;"YES";"Thriller";47400
36024,175;173,5;8,855;9,1;8,9;9,19;387633;"NO";"Thriller";30800
35413,125;105,8;7,945;8,04;7,91;8,215;504226;"YES";"Comedy";56200
35579,775;147,4;8,42;8,525;8,295;8,575;496193;"NO";"Thriller";44000
33007,81;167;8,87;9,08;8,91;9,205;394365;"NO";"Thriller";34800
42273,55;160,8;8,46;8,86;9,06;8,215;504043;"YES";"Comedy";55100
37607,35;80,3;5,86;9,205;7,58;8,805;472490;"NO";"Drama";47400
33352,22;141,3;8,22;7,895;9,2;8,055;506523;"NO";"Thriller";44700
32141,23;106,8;7,375;7,5;7,3;7,625;445250;"YES";"Drama";40000
39873,79;161,4;6,895;7,925;7,955;9,095;412194;"YES";"Action";37000
32607,85;143,2;8,8;8,92;8,735;9,03;455844;"YES";"Thriller";44000
33407,77;113,5;7,625;7,5;8,815;8,09;367698;"YES";"Thriller";45200
35418,68;127,8;7,575;7,81;7,595;7,94;484440;"YES";"Drama";46200
39223,855;145,4;6,555;7,9;5,605;8,215;407077;"YES";"Action";39600
37196,28;129,9;6,985;7,19;7,08;7,28;480187;"YES";"Action";47800
33196,68;165,9;8,815;7,785;8,54;8,94;401242;"YES";"Action";33600
38962,77;158,1;8,89;9,07;8,82;8,955;440617;"NO";"Thriller";61400
32318,99;165,9;8,985;9,17;9,02;9,095;360183;"NO";"Comedy";21000
45878,745;81,9;5,485;5,555;5,465;5,68;518247;"NO";"Thriller";85600
35724,205;170,9;6,92;7,9;8,59;8,67;530639;"NO";"Action";67000
38923,885;159,8;8,25;8,455;8,28;8,175;509357;"NO";"Thriller";47200
32974,48;147,4;8,585;8,705;7,16;7,705;522769;"YES";"Comedy";40300
38185,07;166,1;8,865;7,885;6,055;8,93;513390;"YES";"Thriller";41800
32724,505;173,5;8,22;8,36;9,065;8,95;452920;"NO";"Thriller";45900
29991,445;96,4;6,275;5,495;8,13;9,435;528690;"NO";"Thriller";63000
35579,775;89,3;6,785;9,4;8,68;8,555;401242;"NO";"Thriller";33200
35874,19;106,4;6,745;9,305;4,515;8,185;507911;"YES";"Drama";8600
35579,775;101,2;6,945;6,34;7,505;8,71;454755;"YES";"Comedy";47000
36829,65;129,6;7,625;7,925;7,755;7,815;495454;"NO";"Thriller";53200
35735,315;173,5;7,235;8,005;6,665;9,58;467457;"NO";"Thriller";55300
31102,445;166,2;6,015;6,71;8,435;8,135;465689;"YES";"Drama";35600
34357,675;170,2;8,855;9,01;8,82;8,975;382809;"YES";"Drama";29200
32124,565;173,5;8,51;8,845;8,655;9,23;432078;"YES";"Comedy";42600
31263,54;157,2;8,045;7,925;6,7;9,365;346747;"YES";"Thriller";24400
31707,94;147,8;7,545;7,7;7,55;7,765;446743;"YES";"Comedy";37000
34179,915;142,3;8,285;8,475;8,25;8,43;463628;"YES";"Drama";59200
34002,155;154,3;8,485;6,72;8,96;8,065;375488;"NO";"Action";49900
35579,775;169,5;9,115;9,18;9,1;9,255;390048;"YES";"Thriller";25000
34007,71;126,3;8,555;8,83;8,615;8,725;501252;"YES";"Thriller";44200
32924,485;120,7;6,37;6,66;6,45;6,66;467075;"YES";"Comedy";39200
32530,08;157,2;8,045;8,365;9,03;9,255;305675;"YES";"Comedy";42300
34607,65;105;5,395;5,54;5,295;5,595;449001;"YES";"Comedy";40200
43134,575;156,8;8,51;8,67;8,52;8,82;515276;"YES";"Action";79600
31180,215;169,1;9,035;9,24;9,1;9,115;303828;"NO";"Drama";31400
48772,9;157,2;8,78;6,915;7,845;9,115;316479;"YES";"Thriller";54800
33613,305;118,5;6,985;8,51;5,95;8,3;566644;"NO";"Thriller";23700
33396,66;123,4;8,36;8,775;8,11;7,725;426044;"NO";"Thriller";26100
32657,845;150;8,57;5,495;7,145;7,47;549247;"NO";"Thriller";55200
32713,395;144,1;8,635;8,545;8,23;6,77;349344;"NO";"Comedy";21600
34229,91;111,6;8,71;9,445;8,685;8,45;384688;"NO";"Action";38200
33235,565;173,5;9,25;8,185;7,94;8,245;495797;"NO";"Comedy";41000
33141,13;166,9;6,58;6,665;6,46;6,655;430178;"NO";"Thriller";32000
39707,14;101,2;7,44;7,515;7,295;7,515;542840;"YES";"Comedy";74600
35890,855;166,8;8,84;9,09;8,945;9,125;404986;"YES";"Thriller";19200
34740,97;165,3;7,835;9,275;8,28;8,975;442160;"YES";"Comedy";49200
36001,955;92;6,87;6,94;6,775;7,035;523902;"YES";"Action";47400
36685,22;116,9;8,255;8,31;8,44;6,505;471586;"YES";"Action";36200
36079,725;91,9;7,1;7,4;7,16;7,36;495797;"YES";"Action";52800
38112,855;101,4;7,39;7,59;7,42;7,365;566644;"YES";"Thriller";57000
34740,97;157,7;8,73;8,93;8,855;8,975;446050;"NO";"Action";37000
34490,995;160,8;9,13;8,54;7,505;7,955;399154;"YES";"Thriller";30200
34502,105;112;4,62;7,325;7,165;9,095;391198;"NO";"Thriller";30400
32496,75;115;8,01;8,125;7,94;8,055;482433;"YES";"Thriller";42000
35863,08;141,3;6,225;6,46;6,285;6,58;525189;"YES";"Comedy";44400
27625,015;111,3;8,685;8,86;8,685;8,735;447032;"NO";"Thriller";32200
29785,91;169,7;8,865;9,1;8,895;8,93;450482;"NO";"Drama";41600
32530,08;115,6;7,67;7,895;7,745;7,83;448615;"YES";"Comedy";42200
33902,165;158,6;8,96;9,1;8,83;9,065;340669;"NO";"Drama";26800
19781,355;132,2;6,825;8,82;7,22;6,56;459056;"YES";"Action";23000
35946,405;124,5;8,865;8,36;8,94;9,255;450933;"YES";"Comedy";43100
37374,04;109,6;3,84;4,035;3,84;4,03;502830;"YES";"Drama";60200
36196,38;101,2;5,565;5,855;5,71;5,795;485496;"YES";"Drama";46200
36762,99;154,3;8,25;8,4;8,23;8,58;489836;"YES";"Thriller";60200
32974,48;93;4,59;4,75;4,69;4,8;503151;"NO";"Thriller";41200
35640,88;173,5;7,925;8,79;9,26;9,165;375488;"NO";"Comedy";30700
37196,28;91;8,71;8,535;3,84;9,115;512163;"NO";"Action";34300
36007,51;172,4;7,655;8,31;6,055;6,89;291349;"YES";"Thriller";23900
21458,965;173,5;9,235;9,305;9,23;9,215;466467;"NO";"Drama";46200
39112,755;145,2;8,425;7,31;8,13;9,185;450203;"NO";"Thriller";50500
35579,775;151,2;4,62;8,83;9,425;8,205;389121;"YES";"Comedy";42000
34979,835;165,3;8,76;8,87;8,815;8,82;411619;"NO";"Comedy";32200
33107,8;165,6;8,045;8,185;8,02;8;402133;"YES";"Comedy";43400
29313,735;171,6;9,27;9,385;9,19;9,3;267965;"NO";"Action";14400
34118,81;168,8;5,815;8,775;6,275;8,87;342695;"YES";"Action";16600
33396,66;140,1;7,065;7,265;7,15;7,4;459241;"YES";"Thriller";45800
37435,145;104,3;6,645;6,79;6,63;6,975;507193;"NO";"Comedy";61000
38773,9;141,1;8,615;8,825;8,73;8,765;469624;"YES";"Action";59600
35763,09;152,7;8,635;9,155;5,96;8,455;509852;"YES";"Drama";49900
31702,385;167;7,85;6,19;8,88;6,83;451646;"YES";"Thriller";58700
33479,985;153,2;8,68;8,765;8,59;8,97;442908;"NO";"Drama";33600
40223,755;122,8;6,34;6,52;6,41;6,655;516919;"YES";"Comedy";65400
35846,415;111,3;8,83;9,045;8,23;7,925;452920;"YES";"Action";64800
35140,93;107,6;7,47;9,145;8,965;6,175;422375;"YES";"Drama";41000
36935,195;113,8;8,935;9,22;7,64;7,815;418851;"YES";"Drama";41100
34807,63;156,3;8,31;8,51;8,295;8,36;474736;"YES";"Comedy";43200
33174,46;150,2;8,3;8,545;8,36;8,59;491345;"YES";"Comedy";40600
34107,7;101,2;7,64;9,22;7,655;8,97;492574;"YES";"Action";30900
35946,405;172,3;8,98;9,26;9,085;9,225;424127;"NO";"Action";26200
29991,445;165,4;9,135;9,195;7,225;8,54;530639;"YES";"Thriller";37800
34413,225;127,9;8,475;8,7;8,48;8,79;423752;"YES";"Comedy";43400
34663,2;89,8;7,72;7,815;7,655;7,95;527157;"NO";"Thriller";50400
38746,125;168;6,665;9,34;6,74;6,56;512492;"NO";"Thriller";33500
36051,95;156,5;8,89;6,72;8,295;6,43;458708;"NO";"Comedy";52400
34357,675;91;9,035;8,945;8,685;9,31;537248;"NO";"Drama";59500
35396,46;171,4;8,795;8,92;8,8;8,83;456491;"YES";"Action";46000
35190,925;79,5;5,955;8,865;7,3;6,51;443252;"YES";"Thriller";35400
45812,085;150,4;7,835;6,945;9,05;7,46;459241;"YES";"Thriller";58000
32630,07;110,1;7,735;7,885;7,59;7,785;467670;"NO";"Action";40600
31980,135;173,5;9,155;9,34;9,21;9,47;474055;"NO";"Thriller";30000
38185,07;166,4;8,985;8,09;7,35;6,23;437541;"YES";"Drama";37100
33952,16;154,8;8,61;8,81;8,72;8,845;437945;"NO";"Drama";45200
33007,81;121,7;8,73;8,07;7,83;9,245;526451;"YES";"Drama";39800
29713,695;169,5;9,125;9,31;9,06;9,1;384237;"YES";"Thriller";16600
32618,96;173,5;8,57;8,715;6,405;9,3;369907;"YES";"Comedy";34300
19781,355;95,4;7,27;6,5;7,645;6,12;529498;"YES";"Thriller";33900
27363,93;169,2;9,115;9,32;9,17;9,475;286266;"NO";"Comedy";29200
38612,805;162;8,485;8,64;8,485;8,67;480270;"NO";"Thriller";53400
42467,975;123,2;7,27;7,53;7,285;7,495;524593;"YES";"Drama";92000
32185,67;173,5;9,05;8,185;8,88;6,43;529498;"YES";"Drama";53000
32613,405;115,4;8,035;8,22;8,115;8,185;438045;"YES";"Drama";41200
38112,855;139,6;5,565;6,365;6,795;5,505;448317;"YES";"Drama";46900
32646,735;110,1;9,01;7,41;8,295;9,095;501252;"YES";"Thriller";45100
36935,195;96,9;8,435;9,31;9,075;7,335;400065;"NO";"Action";27100
30752,48;173,5;9,05;9,225;9,14;9,43;362581;"YES";"Thriller";22600
28808,23;167,3;9,21;9,385;9,2;9,14;309356;"NO";"Drama";35600
32546,745;142,2;8,58;8,65;8,485;8,88;480435;"YES";"Thriller";45200
