"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"Genre";"Collection"
37224,055;163,5;8,55;8,81;8,685;8,76;401242;"Thriller";32800
34546,545;173,5;8,96;9,015;8,985;9,03;393382;"Thriller";29600
35440,9;169,1;9,01;9,155;8,935;8,965;354854;"Comedy";19000
30296,97;173,5;8,715;8,99;8,02;8,975;511643;"Comedy";35200
33007,81;167;8,87;9,08;8,91;9,205;394365;"Thriller";34800
29941,45;165,4;8,95;9,32;8,015;9,365;530639;"Comedy";46600
33613,305;156;8,915;9,045;8,76;8,94;412194;"Thriller";46400
31696,83;125,3;8,655;4,75;8,065;9,495;515362;"Thriller";73900
32746,725;133,1;7,07;7,255;7,16;7,285;452920;"Thriller";37000
38646,135;80,3;5,41;5,575;5,45;5,755;534094;"Action";59200
33235,565;157;8,875;9,09;8,94;8,88;434825;"Thriller";40200
35179,815;118,9;8,89;9,145;6,63;8,93;362344;"Comedy";56800
32663,4;170,8;8,69;8,82;8,725;8,985;470298;"Thriller";38200
31991,245;161,5;7,24;8,945;7,955;8,38;539589;"Thriller";30700
31624,615;169,5;8,955;9,135;9,08;9,255;391198;"Comedy";32400
32957,815;173,5;9,17;7,485;8,805;7,515;461313;"Action";44600
33413,325;118,6;7,69;7,92;7,755;7,78;436753;"Thriller";45000
35740,87;173,5;9,06;9,125;9,08;9,065;302506;"Comedy";14400
34129,92;135,7;8,655;8,805;8,605;8,74;461876;"Thriller";72400
35757,535;148,5;8,48;8,685;8,495;8,55;421532;"Action";46400
32530,08;170,5;8,89;9,09;8,965;9,165;334417;"Drama";34600
32702,285;168,2;9,005;9,23;8,97;9,23;420044;"Comedy";25400
33535,535;108;6,87;7,15;6,865;7,145;477685;"Comedy";42200
34035,485;156,9;8,52;8,8;8,55;8,685;473168;"Action";45400
34296,57;167,1;9,07;9,23;9,065;9,41;354960;"Drama";28000
29941,45;172,4;9;9,25;9,025;9,265;369811;"Action";23000
32291,215;142,6;9,215;6,94;6,26;9,23;426057;"Thriller";43200
32763,39;101,1;9,27;9,105;6,58;9,06;482433;"Comedy";30400
36363,03;106,6;8,39;8,545;8,395;8,41;500067;"Comedy";58800
36546,345;109,4;4,51;4,785;4,575;4,705;528366;"Thriller";48200
37957,315;167,8;8,95;9,055;8,865;8,955;388831;"Drama";28200
37318,49;173,5;8,73;7,515;8,94;5,655;511643;"Action";53000
34602,095;162,9;8,8;9,095;8,845;7,95;401242;"Thriller";50900
40368,185;122,5;7,53;7,66;7,515;7,72;490028;"Drama";66400
36857,425;103,2;5,69;5,91;5,73;5,985;507911;"Comedy";49000
32907,82;171,4;9,11;9,34;9,21;7;278464;"Comedy";37200
33052,25;158,9;9,08;9,03;8,295;8,58;421532;"Action";40400
33863,28;170,4;7,965;8,17;8,065;8,28;377048;"Comedy";27000
32257,885;127,3;8,17;8,21;8,1;8,215;414813;"Thriller";44800
37740,67;162,8;8,73;8,845;8,8;8,845;496077;"Comedy";44000
36163,05;122,5;8,83;9,12;8,755;8,545;491978;"Thriller";42600
48772,9;156,4;9,015;9,145;9,04;8,99;493047;"Thriller";43800
28808,23;79,7;7,9;5,795;8,51;8,305;528690;"Drama";55300
31707,94;147,8;7,545;7,7;7,55;7,765;446743;"Comedy";37000
35440,9;158,9;8,165;6,83;7,83;7,17;495797;"Thriller";59200
35851,97;171,9;8,925;9,235;8,915;9,225;442884;"Comedy";34200
29463,72;162,6;9,135;9,305;9,095;9,165;302776;"Action";20800
27363,93;169,2;9,115;9,32;9,17;9,475;286266;"Comedy";29200
35563,11;168,7;8,85;8,94;8,835;8,85;449755;"Action";44600
30019,22;162,1;8,005;8,295;8,1;8,27;347413;"Thriller";38600
37862,88;150,2;8,9;6,24;6,85;8,965;342621;"Drama";58200
33113,355;91;7,28;7,4;7,29;7,455;491978;"Action";43400
27880,545;170,7;8,04;4,75;9,18;6,785;482381;"Thriller";61200
38312,835;127,8;6,755;6,935;6,8;6,84;470107;"Comedy";54000
31374,64;170,9;8,06;8,48;8,23;9,185;440004;"Thriller";38900
33257,785;173,5;9,135;9,31;9,04;9,335;308973;"Drama";11200
35579,775;104,8;9,24;6,41;8,54;9,255;486691;"Thriller";66100
35413,125;164,8;9,105;7,46;7,91;7,955;482381;"Drama";38000
35140,93;169,5;7,97;7,4;5,86;8,94;495540;"Drama";46300
36829,65;119,2;8,04;8,665;6,235;8;391198;"Comedy";49500
33902,165;158,6;8,9;8,07;8,755;8,73;473146;"Action";35900
31702,385;127,5;8,65;8,865;8,79;8,93;441556;"Thriller";43600
33863,28;81,3;8,995;8,81;8,725;7,07;455177;"Thriller";64300
35413,125;105,8;7,945;8,04;7,91;8,215;504226;"Comedy";56200
33363,33;168,8;9,01;9,215;9,06;8,965;434982;"Comedy";28400
40734,815;156,4;7,7;9,145;8,56;6,165;497626;"Action";49600
37374,04;109,6;3,84;4,035;3,84;4,03;502830;"Drama";60200
36051,95;156,4;8,745;9,18;8,02;6,725;456975;"Thriller";27000
35724,205;172,3;9,02;9,195;9,04;9,115;444896;"Comedy";36000
38612,805;96,9;9,12;8,66;8,63;9,235;353650;"Thriller";52300
35490,895;121,5;7,515;7,645;7,505;7,775;454277;"Drama";47800
32341,21;172,4;8,855;8,375;8,6;7,47;457361;"Comedy";33600
33057,805;164,3;5,565;8,775;8,76;9,235;529841;"Drama";40100
35140,93;126;7,685;7,88;7,765;7,955;444948;"Thriller";48800
30663,6;173,5;9,145;9,335;9,14;9,31;339764;"Drama";24600
35413,125;147,4;6,28;9,135;6,73;8,97;489563;"Thriller";23800
32318,99;105,4;8,995;6,74;8,72;8,99;495560;"Thriller";55700
25708,54;173,5;9,115;9,23;9,11;9,435;233720;"Comedy";35800
37862,88;162,6;8,745;9,235;4,69;8,955;394787;"Thriller";52900
37096,29;104,6;6,9;7,135;6,965;7,08;534560;"Thriller";57200
37607,35;76,4;7,115;7,14;7;7,3;512492;"Action";53200
42695,73;135,5;8,85;9,005;7,125;8,82;418266;"Comedy";48200
32646,735;152,7;8,655;8,895;8,71;8,89;468741;"Drama";47600
31152,44;94,6;8,96;9,33;8,97;7,83;493569;"Comedy";47700
37918,43;101,1;7,43;7,58;7,54;7,725;516911;"Thriller";66200
35646,435;139,6;8,43;8,535;8,425;8,425;503147;"Drama";45200
32518,97;115,6;8,94;7,965;8,99;8,235;457364;"Comedy";57500
30063,66;161,4;9,01;9,25;7,91;5,505;359760;"Thriller";32200
29785,91;160,9;8,55;9,43;8,545;7,785;308802;"Drama";30100
32146,785;104,6;6,65;6,78;6,58;6,77;465605;"Action";38800
35640,88;167,9;8,45;8,51;6,85;7,845;269764;"Thriller";21700
35424,235;167,8;6,675;6,845;6,725;7,06;369595;"Drama";30000
32596,74;99,3;7,29;7,47;7,265;7,54;483140;"Drama";38600
30952,46;162;8,65;8,73;8,635;8,79;415584;"Thriller";46200
30291,415;151,3;9,135;7,81;9,115;8,36;501152;"Drama";53700
34402,115;160;8,23;9,335;7,9;9,375;459385;"Drama";31400
35002,055;120,2;8,615;8,555;8,97;8,845;498744;"Comedy";57800
38707,24;165,4;9,17;9,43;9,155;9,41;417588;"Comedy";20800
33713,295;113,5;7,095;7,245;7,05;7,165;471960;"Thriller";42400
34502,105;132,6;9,02;8,775;8,755;9,22;411772;"Thriller";37800
32852,27;156,7;7,9;8,09;7,96;8,055;387823;"Thriller";35600
32424,535;133,2;8,865;9,165;8,905;9,07;401981;"Comedy";20400
32652,29;172;8,75;8,33;8,02;6,845;461313;"Comedy";27700
37301,825;125,3;9,055;6,895;5,885;5,42;339764;"Thriller";23100
40479,285;147,8;7,72;9,15;7,145;7,52;458882;"Thriller";35800
38546,145;108;5,56;5,73;5,515;5,605;495540;"Comedy";53200
30013,665;173,5;9,33;9,48;9,18;9,365;329378;"Thriller";26800
36007,51;105,6;7,89;7,96;7,8;8,075;504442;"Thriller";58200
32535,635;171,7;9,055;9,295;9,08;9,235;380380;"Thriller";26600
34490,995;141,1;9,235;8,785;8,815;9,19;518438;"Drama";48500
38773,9;141,1;8,615;8,825;8,73;8,765;469624;"Action";59600
34107,7;142,6;7,995;9,025;8,29;9,21;475977;"Comedy";51200
38707,24;161,4;9,155;8,685;7,64;7,82;496877;"Drama";42900
35763,09;82,4;6,285;6,41;6,295;6,215;548870;"Drama";49600
32707,84;112,4;9,005;8,185;8,635;7,95;406866;"Action";35400
32918,93;110,1;8,825;9,08;7,08;8,28;515362;"Action";48900
36418,58;102,6;7,69;7,86;7,66;7,655;537380;"Thriller";59600
34718,75;166,1;9,07;9,24;9,06;9,03;540041;"Drama";54000
35179,815;90,7;7,32;7,46;7,275;7,515;483051;"Comedy";45200
29991,445;168,8;7,01;7,16;7,02;7,07;264112;"Comedy";28800
32802,275;126,7;8,32;8,575;8,42;8,385;451515;"Comedy";41200
32974,48;169,6;8,57;9,23;8,36;8,555;416540;"Comedy";37200
31130,22;173,5;5,385;7,875;6,285;7,625;517172;"Thriller";29700
33135,575;138,6;8,54;8,31;7,64;9,11;302776;"Comedy";40600
34257,685;170,4;9,05;7,75;9,015;6,22;371051;"Thriller";28700
32502,305;170,2;8,905;9,025;8,935;8,925;430817;"Comedy";39000
35718,65;132,2;6,89;7,1;6,885;7,005;498425;"Comedy";57400
43440,1;110,4;8,23;8,29;8,2;8,285;544945;"Action";87600
33063,36;168,9;8,48;7,035;9,04;8,985;530639;"Comedy";50500
32974,48;161,4;8,68;9,155;7,91;8,575;518438;"Thriller";25600
36246,375;160;8,695;8,79;8,63;9,015;408819;"Thriller";28200
32185,67;144,1;8,48;8,705;8,47;8,56;426044;"Drama";36600
36829,65;129,6;7,625;7,925;7,755;7,815;495454;"Thriller";53200
38773,9;146,2;9,01;8,93;7,76;8,85;491464;"Thriller";53000
30935,795;115,9;9,035;8,85;8,63;8,03;436753;"Thriller";46300
33435,545;138,8;8,66;8,875;8,71;8,94;450933;"Thriller";42400
35890,855;166,1;5,915;6,63;6,85;9,1;400065;"Thriller";44800
43440,1;138;7,51;7,665;7,58;7,855;538611;"Comedy";90800
41218,1;173,5;7,585;7,16;5,445;8,79;375488;"Thriller";47300
34507,66;170,9;8,92;9,095;8,785;8,955;399154;"Comedy";35600
27841,66;161,5;9,09;9,22;9,05;9,42;455196;"Comedy";30600
35318,69;168,5;7,555;9,145;7,96;8,385;477685;"Comedy";38600
36396,36;141,6;8,975;8,31;7,235;8,895;525189;"Thriller";36800
32968,925;161,4;9,075;9,195;9,065;9,025;257073;"Comedy";16800
32141,23;106,8;7,375;7,5;7,3;7,625;445250;"Drama";40000
39634,925;105,5;9,15;8,36;8,48;8,67;414813;"Thriller";48100
36935,195;161,5;9,12;8,7;8,68;9,33;481269;"Drama";42100
34413,225;127,9;8,475;8,7;8,48;8,79;423752;"Comedy";43400
31152,44;173,5;9,27;9,46;9,305;9,39;434373;"Thriller";55800
35002,055;157,2;8,45;8,715;8,59;8,675;425095;"Thriller";29800
32918,93;104,6;7,89;7,705;8,545;8,2;356325;"Drama";49700
36329,7;115,4;6,98;8,695;7,475;8,985;461876;"Thriller";40400
33063,36;158,2;8,435;8,73;8,46;8,63;389121;"Comedy";38000
42467,975;123,2;7,27;7,53;7,285;7,495;524593;"Drama";92000
30146,985;168,9;8,695;8,835;8,72;8,895;418266;"Action";27600
35540,89;121,7;8,57;9,24;7,94;8,115;212912;"Action";11200
36896,31;158,6;8,24;8,405;8,155;8,36;461695;"Comedy";57400
33891,055;166,5;8,815;8,86;8,705;9,055;471586;"Thriller";50000
33446,655;155,1;7,375;9,36;4,575;8,23;495560;"Comedy";30700
35763,09;173,5;9,07;8,02;7,64;7,47;395312;"Comedy";38200
33791,065;165,6;8,305;8,74;6,665;8,425;286266;"Action";22300
40701,485;168;8,795;8,99;8,895;9,16;450060;"Comedy";62000
33952,16;173,5;4,59;9,195;9,195;7,785;445250;"Thriller";35000
30752,48;173,5;9,05;9,225;9,14;9,43;362581;"Thriller";22600
32602,295;173,5;8,285;9,07;9,015;8,555;498744;"Action";35200
29991,445;122,5;8,76;8,44;8,61;6,485;504043;"Drama";27500
39479,385;110,1;6,18;6,49;6,3;6,41;511537;"Action";60600
33591,085;162,3;7,75;7,8;7,7;7,845;406866;"Drama";29600
35724,205;88,2;7,245;7,45;7,215;7,255;533713;"Comedy";49200
30913,575;144,1;8,87;9,005;8,81;9,185;398327;"Comedy";23400
31891,255;139,7;6,335;6,42;6,235;6,56;465689;"Thriller";37400
34585,43;152,7;5,915;6,005;5,85;6,12;484343;"Thriller";41000
36468,575;96,4;6,335;6,505;6,275;6,25;459056;"Comedy";49600
42723,505;125,3;7,735;7,95;7,76;7,82;522502;"Thriller";70400
40734,815;173,5;8,9;9,13;8,99;9,195;477252;"Thriller";72000
35224,255;169,9;8,885;8,98;8,89;9,105;401882;"Comedy";29800
32846,715;173,5;7,72;8,09;8,945;6,85;500120;"Comedy";28400
36624,115;148,3;8,1;8,82;8,945;9,155;467457;"Thriller";48000
33352,22;173,5;9,005;6,4;9,08;8,94;374897;"Drama";50000
31374,64;161,1;8,935;9,03;8,9;9,23;455145;"Comedy";41600
32635,625;113,5;9,115;8,07;7,02;7,995;537380;"Comedy";40700
33963,27;173,5;7,89;9,24;8,8;8,965;484954;"Action";55400
35963,07;111,3;8,47;8,33;9,36;6,5;388265;"Thriller";52300
25103,045;173,5;9,13;9,25;9,05;9,255;212912;"Thriller";14000
34585,43;158,9;8,85;7,19;9,04;7,47;294970;"Comedy";29200
39873,79;99,8;6,62;6,83;6,7;6,895;515199;"Drama";72800
25103,045;158,2;7,545;7,815;4,515;8,895;490040;"Thriller";29400
33152,24;93,6;7,735;9,015;6,775;8,895;491484;"Thriller";35900
30941,35;171,6;8,035;8,205;7,955;8,21;371051;"Action";27200
34607,65;105;5,395;5,54;5,295;5,595;449001;"Comedy";40200
33091,135;108;9,005;8,92;9,08;7,53;496077;"Thriller";42700
40407,07;111,8;6,235;6,39;6,27;6,485;519868;"Drama";69200
27236,165;171,3;9,26;9,46;9,225;9,365;294970;"Thriller";23600
32630,07;110,1;7,735;7,885;7,59;7,785;467670;"Action";40600
37196,28;168,9;8,045;7,95;8,655;9,085;406866;"Comedy";75900
40873,69;145,1;7,88;8,09;7,835;7,9;533135;"Thriller";63000
31980,135;173,5;7,72;9,235;7,265;7,625;425095;"Thriller";13900
35579,775;158,9;8,485;8,725;8,635;8,725;457364;"Action";37200
36363,03;101,9;8,835;6,935;7,945;8,04;462958;"Thriller";67400
41173,66;150,4;8,06;8,33;8,065;8,2;540602;"Comedy";63400
31119,11;135,5;6,945;7,05;6,85;6,98;422013;"Action";38800
42467,975;144,1;7,7;7,47;8,84;8,045;470298;"Comedy";41700
34663,2;167,8;8,76;7,46;7,475;8;480435;"Thriller";50800
38062,86;173,5;9,24;9,36;9,26;9,21;399184;"Drama";55000
34285,46;169,6;6,98;7,075;6,875;7,17;400821;"Drama";44200
35646,435;80,1;7,24;7,465;7,205;7,52;501152;"Thriller";48400
34879,845;148;7,835;8,14;7,87;8,05;478283;"Comedy";40000
33807,73;110,8;6,335;9,24;8,72;9,24;494055;"Comedy";29100
32530,08;115,6;7,67;7,895;7,745;7,83;448615;"Comedy";42200
34602,095;126;6,8;6,91;7,74;8,52;507193;"Drama";49600
34341,01;115,9;7,925;8,095;8,02;8,065;456943;"Drama";50000
38568,365;163,5;9,17;6,165;9,195;8,475;426057;"Thriller";63300
38568,365;90,7;6,9;7,84;8,68;8,63;510893;"Action";65500
27252,83;173,5;9,26;9,505;9,36;9,525;237541;"Comedy";27600
34979,835;165,3;8,76;8,87;8,815;8,82;411619;"Comedy";32200
35179,815;95;8,01;9,045;7,285;8,305;523902;"Thriller";33300
35563,11;157,9;6,275;6,62;7,515;8,975;474433;"Comedy";66400
29313,735;162;8,48;8,01;8,61;9,085;462958;"Drama";31900
34257,685;163,5;8,685;8,875;8,66;8,935;432081;"Comedy";40200
36968,525;171,7;8,745;8,885;8,675;8,985;390279;"Comedy";30400
35757,535;157,6;8,24;9,09;8,72;8,675;346747;"Comedy";33200
31669,055;168,5;8,1;8,165;8,02;8,14;394967;"Comedy";26200
32924,485;157,6;8,045;8,885;9,075;7,07;294970;"Comedy";14900
35440,9;166,1;7,925;7,785;9,04;6,39;401740;"Action";33200
32663,4;109,6;8,77;9,25;8,8;8,26;308973;"Drama";23300
31496,85;105,7;5,975;9,15;9,04;8,97;373575;"Comedy";34600
34179,915;168,5;9,045;8,79;8,76;8,715;457364;"Thriller";40100
33696,63;173,5;9,02;9,23;9,05;9,185;483363;"Thriller";48600
33379,995;106,4;8,9;8,04;8,6;9,365;494055;"Thriller";50900
34724,305;164,6;8,71;9,01;8,85;8,84;456314;"Thriller";39800
32802,275;159;8,83;8,69;8,71;8,385;418266;"Thriller";39600
36524,125;138,7;7,825;8,095;7,91;7,995;527367;"Thriller";48000
37674,01;114,6;8,095;8,15;8,065;8,115;480787;"Thriller";64000
38707,24;114,6;7,12;8,93;8,42;8,88;420282;"Thriller";40000
32291,215;163,8;7,53;7,705;7,645;7,755;436807;"Drama";33200
34724,305;170,1;8,745;8,995;8,885;8,98;397006;"Comedy";25200
32007,91;94,9;7,33;8,14;8,865;5,655;298989;"Drama";51500
32691,175;106,5;6,725;6,805;6,7;6,77;499656;"Drama";41800
31263,54;173,5;9,09;9,255;9,155;9,47;399297;"Thriller";31200
36751,88;172,3;9,005;9,03;5,985;7,44;491484;"Comedy";34100
38646,135;170,9;9,22;8,365;8,415;7,145;369811;"Thriller";38900
33479,985;153,2;8,68;8,765;8,59;8,97;442908;"Drama";33600
33657,745;110,8;7,545;7,74;7,465;7,625;466294;"Thriller";41200
34490,995;153,3;8,76;7,225;9,21;8,885;215432;"Thriller";36900
32185,67;171,8;7,53;8,185;9,115;8,26;514434;"Action";54300
33113,355;127,8;8,555;6,915;8,815;9,26;291349;"Action";51300
37540,69;164,5;7,07;8,4;8,815;7,72;334417;"Action";28600
35690,875;148,3;8,8;9,04;8,83;8,93;458882;"Comedy";32200
34452,11;152,2;8,965;9,17;8,94;9,2;439565;"Drama";21800
43440,1;170,5;8,535;8,1;7,955;7,72;498425;"Comedy";46600
41773,6;162,9;8,8;9;8,925;9;526451;"Action";86200
36079,725;167,9;7,715;7,825;7,655;7,895;455480;"Thriller";36800
30935,795;147;8,77;8,805;8,755;8,87;414921;"Drama";35000
35579,775;147,4;8,42;8,525;8,295;8,575;496193;"Thriller";44000
31135,775;143,7;5,86;6,085;5,86;6,285;405929;"Comedy";37000
35235,365;173,5;9,12;9,33;9,095;9,305;374897;"Comedy";14400
32707,84;129,5;8,28;8,515;8,285;8,695;429010;"Action";46600
35668,655;81,3;7,32;8,14;8,285;6,77;437541;"Thriller";40200
35696,43;125,8;7,63;7,84;7,615;7,83;510893;"Thriller";47600
33057,805;167,3;8,54;8,56;8,46;8,66;411880;"Comedy";43000
32418,98;165,4;8,815;8,965;8,76;9,04;405008;"Drama";39000
32907,82;114,6;6,87;8,755;5,985;7,95;482381;"Thriller";33600
36018,62;146,6;9,155;7,86;7,81;9,3;483363;"Thriller";32100
33007,81;133;6,865;6,4;9,14;7,785;312011;"Thriller";54900
40012,665;155,3;8,94;9,025;8,815;8,995;483080;"Drama";67600
33952,16;154,8;8,61;8,81;8,72;8,845;437945;"Drama";45200
36979,635;173,5;9,22;9,295;9,17;9,26;353054;"Comedy";34400
32007,91;113,8;7,795;8,055;7,875;8,075;481869;"Action";43600
33113,355;166,4;8,83;9,075;8,865;9,05;388265;"Comedy";41000
32930,04;161,7;8,72;8,795;8,64;8,92;415458;"Comedy";36600
36607,45;159,4;9,05;8,605;8,115;8,305;389121;"Thriller";49500
33113,355;151,6;7,825;6,515;9,215;9,08;459385;"Action";79200
32007,91;151,3;4,59;8,97;8,99;9,115;493047;"Action";42600
37224,055;96,9;8,285;8,05;8,66;7,595;481869;"Comedy";40000
38612,805;152,2;8,725;8,945;8,58;9,255;528690;"Drama";43300
45878,745;164,7;9,02;8,79;7,81;8,76;465165;"Comedy";45200
32618,96;146,6;8,6;8,865;8,69;8,89;410730;"Thriller";40800
33713,295;166,4;5,41;7,36;8,165;9,475;540041;"Action";48800
31569,065;146,2;7,01;8,965;5,605;7,515;431269;"Thriller";27400
30291,415;173,5;9,215;9,37;9,105;9,33;291101;"Drama";10000
34846,515;79,5;7,73;8,025;7,715;8,025;488560;"Thriller";48200
36024,175;113,5;6,34;8,67;8,685;7,3;483741;"Action";34700
32318,99;165,9;8,985;9,17;9,02;9,095;360183;"Comedy";21000
32507,86;151,3;9,15;9,38;9,14;9,33;270691;"Thriller";12600
36018,62;167,1;8,71;8,85;8,76;9,075;373575;"Thriller";33400
36363,03;164,5;6,65;9,255;6,44;8,595;522502;"Drama";40600
31924,585;172,4;9,135;9,23;9,125;9,24;384688;"Comedy";17000
32907,82;141,1;8,68;8,04;6,645;7,01;316479;"Thriller";18000
31569,065;173,5;9,235;9,405;9,28;9,23;342621;"Thriller";10000
34940,95;167,3;7,115;8,665;8,735;8,88;493498;"Comedy";37800
22986,59;173,5;9,27;9,48;9,425;9,55;215432;"Drama";27600
32974,48;93;4,59;4,75;4,69;4,8;503151;"Thriller";41200
32119,01;166,2;8,48;9,215;7,535;9,185;475753;"Thriller";33500
30074,77;173,5;6,725;8,835;5,515;7,29;474055;"Drama";29900
35613,105;152,4;7,735;8,175;9,28;8,93;470809;"Thriller";45000
36051,95;117,9;5,5;5,685;5,445;5,785;530639;"Thriller";45800
36768,545;143,9;7,145;7,445;7,145;7,46;510436;"Drama";47800
32713,395;136,3;9,11;9,025;8,31;7,44;440617;"Comedy";39100
35963,07;170,6;8,64;8,91;8,73;8,85;473768;"Action";39600
36168,605;94,6;6,49;6,62;6,44;6,815;504792;"Thriller";50000
31374,64;108;8,915;7,455;8,93;8,955;480986;"Action";53000
30752,48;153,2;8,75;8,885;7,505;6,845;498052;"Thriller";56400
35696,43;159,2;5,28;7,5;8,845;8,475;515276;"Comedy";47600
32752,28;168,9;8,925;9,145;9,015;9,095;349335;"Drama";16600
35063,16;102,4;7,265;7,455;7,145;7,3;509852;"Thriller";46000
32163,45;107,3;9,02;8,715;8,36;9,13;502128;"Drama";34000
38707,24;169,6;8,73;8,09;9,3;9,315;528690;"Comedy";47200
32968,925;165,3;8,815;8,13;9,04;6,975;448684;"Thriller";34500
38007,31;173,5;8,9;9,09;8,84;9,145;483741;"Thriller";60200
33141,13;166,1;8,865;7,15;7,645;7,035;467457;"Action";47400
35102,045;169,6;8,855;8,98;8,88;9,085;473988;"Comedy";47600
35418,68;173,5;8,85;9,325;8,94;6,785;471052;"Thriller";34300
34307,68;146;8,535;8,645;8,5;8,86;432696;"Comedy";42400
33929,94;105,5;5,305;5,495;5,345;5,42;528690;"Thriller";43800
37368,485;165,6;7,825;9,43;8,59;5,68;316479;"Comedy";45600
36935,195;124,5;8,31;6,39;8,415;8,89;480067;"Thriller";66400
19781,355;161,4;9,185;9,225;9,16;9,205;527849;"Thriller";55000
34235,465;143,1;8,21;8,325;8,23;8,245;467769;"Thriller";42800
36246,375;173,5;6,47;7,05;8,36;8,775;432696;"Thriller";67100
30752,48;153,3;6,985;8,885;9,005;8,305;465487;"Thriller";36600
30063,66;83,3;8,16;8,26;8,165;8,235;298989;"Comedy";47400
34674,31;165,3;8,725;8,945;7,295;5,42;354854;"Action";26900
38785,01;91,2;7,095;7,32;7,245;7,355;546989;"Comedy";66200
36607,45;113,9;7,185;7,4;7,25;7,175;456975;"Thriller";44000
34257,685;157,5;8,39;8,515;8,47;8,555;399291;"Thriller";39800
34718,75;96,8;8,695;9,225;8,69;6,77;512163;"Drama";45400
29713,695;169,5;9,125;9,31;9,06;9,1;384237;"Thriller";16600
34502,105;102,4;8,04;8,225;8,095;8,305;508101;"Action";50000
27363,93;117,2;7,73;7,88;8,44;8,955;414921;"Comedy";27200
42273,55;89,2;6,825;6,955;6,735;6,95;554735;"Action";84600
31130,22;154,3;9,33;8,85;8,755;8,88;523902;"Comedy";32400
33685,52;165;8,25;8,895;7,66;9,24;429010;"Thriller";48700
35318,69;126,4;6,445;6,595;6,405;6,485;479264;"Thriller";44400
37374,04;167,6;8,75;8,9;8,625;8,73;402950;"Thriller";28800
34357,675;170,2;8,855;9,01;8,82;8,975;382809;"Drama";29200
34568,765;173,5;7,29;8,38;6,705;7,285;380380;"Drama";44100
35190,925;80,1;9,045;9,295;7,25;8,425;493047;"Drama";43600
38185,07;115,9;8,815;8,095;9,04;6,045;395312;"Thriller";59100
32724,505;94,9;6,01;9,23;8,71;5,47;459241;"Comedy";27400
38751,68;164,5;8,83;8,97;8,855;9,01;532239;"Comedy";47800
32630,07;170,9;8,345;7,81;9,17;9,015;467769;"Thriller";64700
31835,705;138,7;8,52;8,74;8,54;8,685;463019;"Thriller";38600
38773,9;127,8;9,135;8,09;8,66;8,89;491464;"Drama";50700
33379,995;115,8;7,23;7,265;7,22;7,28;481269;"Drama";43400
38646,135;106,6;7,965;8,69;7,76;9,335;509852;"Action";45300
38312,835;117,2;7,5;7,81;8,76;7,845;533713;"Thriller";55000
33807,73;135;8,045;8,305;8,095;8,255;471552;"Comedy";48000
31735,715;168,5;7,655;9,055;6,405;9,15;461876;"Drama";16400
30019,22;173,5;9,07;9,27;9,115;9,365;466687;"Thriller";39200
40701,485;118,6;5,485;9,07;6,405;8,21;375488;"Thriller";39600
33091,135;173,5;9,02;9,155;9,075;9,15;383325;"Comedy";17600
36479,685;94,9;9,18;8,185;6,85;9,03;395312;"Comedy";38300
37490,695;166,1;8,8;8,945;8,815;8,8;401512;"Drama";26800
37740,67;102,6;8,585;9,46;9,075;8,63;439085;"Drama";48900
34602,095;164,2;8,36;8,605;8,415;8,425;455983;"Action";39200
32852,27;173,5;7,77;6,16;8,52;8,62;454602;"Drama";47700
37740,67;87,4;6,34;6,19;8,46;5,655;518438;"Comedy";70900
38568,365;170,9;9,005;9,12;9,04;9,08;501350;"Comedy";82600
30013,665;163;7,23;8,44;6,8;7,515;466467;"Comedy";44100
40195,98;170,5;7,185;8,98;7,395;7,175;496877;"Drama";45100
37540,69;155,3;7,74;9,075;8,28;6,985;456491;"Drama";40500
35063,16;123,4;9,11;7,43;9,26;6,985;434825;"Thriller";48600
35585,33;170,8;8,55;6,66;8,155;8,99;473168;"Thriller";49100
31257,985;167,4;9,065;9,14;8,995;9,165;334563;"Comedy";25600
32496,75;122,5;5,925;8,31;8,47;8,975;394787;"Thriller";32400
35007,61;105,7;7,235;7,405;7,265;7,29;492574;"Thriller";49600
34490,995;172,4;8,795;8,945;7,3;8,83;382738;"Thriller";34200
37774;83,4;6,77;6,935;6,775;7,08;503965;"Thriller";62200
25841,86;122;7,95;8,36;7,59;7,625;415458;"Action";48300
36835,205;150;7,77;8,05;7,9;7,985;502128;"Action";50200
35418,68;172,4;9,155;8,775;6,3;9,015;423752;"Drama";50900
32119,01;145,2;7,935;8,03;7,83;8,135;401740;"Thriller";39600
33968,825;112,4;8,215;9,155;8,54;8,86;549160;"Thriller";56400
33246,675;172,3;9,27;6,49;9,01;8,575;493569;"Comedy";53700
45878,745;132,6;6,18;9,2;7,465;8,895;546620;"Thriller";55900
33141,13;166,2;8,685;9,24;8,435;9,165;447528;"Comedy";28400
27569,465;164,9;8,96;9,225;9,07;9,245;417956;"Drama";43800
30935,795;153,4;8,32;6,52;8,435;8,87;470466;"Drama";55400
36079,725;153,2;7,47;9,1;6,63;7,835;474055;"Thriller";52000
34846,515;134,6;5,915;4,785;7;8,66;471586;"Thriller";68700
35007,61;120,7;9,11;9,075;6,58;9,03;302506;"Action";21200
39707,14;101,2;7,44;7,515;7,295;7,515;542840;"Comedy";74600
43440,1;161,9;5,565;7,45;8,635;7,985;383325;"Comedy";46500
