"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PROFESSION_CODE";"PERSONAL_NET_INCOME";"DELINQ"
"M";"S";22;0;48;36;954;450;"0"
"F";"C";28;0;288;60;999;297;"1"
"F";"C";45;0;240;36;999;280;"0"
"M";"C";29;0;216;24;254;343;"0"
"F";"O";36;0;240;12;26;255;"0"
"F";"S";18;0;216;12;950;200;"1"
"M";"S";20;0;120;0;60;180;"0"
"F";"C";49;0;120;48;26;253;"0"
"F";"C";37;0;264;12;992;400;"0"
"M";"C";34;0;60;36;952;480;"0"
"F";"S";22;0;24;12;999;295;"0"
"F";"C";44;0;528;0;950;270;"1"
"F";"S";44;0;36;0;13;372;"0"
"F";"C";41;0;0;0;520;890;"0"
"F";"S";25;0;300;12;950;350;"0"
"F";"S";27;0;12;12;950;435;"0"
"F";"C";42;0;120;120;165;310;"0"
"F";"C";38;0;36;36;305;1000;"0"
"F";"S";44;0;480;72;205;240;"0"
"F";"S";24;0;60;12;2;1500;"0"
"F";"C";52;0;300;0;13;298;"0"
"F";"O";18;0;12;24;703;180;"1"
"M";"V";35;0;12;36;717;600;"0"
"F";"V";47;0;24;96;17;305;"0"
"F";"S";19;0;228;36;950;400;"0"
"M";"S";23;0;72;72;999;275;"0"
"F";"O";47;0;324;48;725;213;"0"
"F";"S";26;0;24;24;24;250;"1"
"F";"C";38;0;24;24;853;379;"1"
"F";"S";26;0;204;12;514;556,95;"1"
"F";"S";21;0;48;12;302;558;"0"
"F";"S";38;0;36;0;999;600;"0"
"F";"V";77;0;360;12;725;552;"0"
"M";"C";38;0;60;36;167;962;"1"
"M";"C";40;0;72;12;305;1070;"0"
"F";"S";24;0;36;48;305;400;"0"
"F";"S";20;0;240;12;265;385;"1"
"F";"S";48;0;96;0;704;1435;"0"
"F";"S";39;0;168;24;950;300;"0"
"F";"C";51;0;492;120;131;250;"0"
"M";"D";49;0;588;108;707;780;"1"
"F";"S";37;0;192;0;999;0;"0"
"M";"S";21;0;48;36;514;450;"0"
"F";"D";37;0;24;228;24;850;"1"
"M";"S";25;0;300;12;707;470;"1"
"F";"S";19;0;228;0;60;180;"0"
"F";"S";48;0;240;12;999;400;"0"
"F";"C";35;0;24;36;24;1226;"1"
"F";"D";34;0;156;180;999;800;"0"
"F";"C";25;0;36;12;999;800;"0"
"F";"S";20;0;216;72;999;600;"1"
"M";"S";20;0;240;12;999;355;"1"
"M";"C";44;0;132;24;999;2200;"0"
"F";"C";51;0;360;0;205;600;"1"
"F";"S";25;0;60;48;24;615;"0"
"F";"S";30;0;0;24;165;450;"0"
"F";"C";45;0;300;12;999;243;"0"
"M";"S";38;0;456;84;999;670;"0"
"F";"S";31;0;36;0;205;350;"0"
"F";"S";20;0;144;24;713;409;"0"
"F";"C";43;0;240;24;100;250;"0"
"M";"S";21;0;252;36;908;700;"0"
"F";"D";45;0;540;228;730;2100;"0"
"F";"V";67;0;480;0;13;226;"0"
"F";"C";35;0;312;0;999;600;"0"
"M";"S";26;0;24;12;953;412;"0"
"M";"S";20;0;216;60;4;300;"0"
"F";"C";37;0;96;24;35;500;"0"
"F";"S";28;0;240;12;712;697;"0"
"F";"S";22;0;264;12;38;277;"0"
"F";"D";23;0;72;24;113;450;"0"
"F";"S";21;0;12;12;60;278;"0"
"F";"S";19;0;24;72;950;350;"1"
"M";"C";29;0;360;132;514;745;"0"
"F";"C";41;0;504;192;950;890;"0"
"F";"C";41;0;204;0;123;300;"0"
"F";"D";26;0;24;12;950;210;"0"
"M";"C";34;0;120;0;522;760;"0"
"M";"C";53;0;24;60;2;2500;"0"
"F";"V";68;0;12;12;725;4128;"0"
"M";"S";21;0;36;60;219;1517;"0"
"F";"C";30;0;24;12;205;200;"1"
"F";"V";63;0;84;0;725;1629;"0"
"F";"S";39;0;0;0;205;480;"1"
"M";"S";22;0;252;24;125;1500;"1"
"F";"S";22;0;24;12;40;260;"0"
"M";"C";42;0;132;12;953;400;"0"
"F";"V";41;0;60;36;725;351;"0"
"F";"S";46;0;96;0;950;1800;"0"
"F";"S";24;0;264;0;38;350;"0"
"M";"O";42;0;480;120;953;800;"1"
"F";"S";20;0;84;0;30;250;"0"
"M";"O";48;0;36;24;13;1100;"0"
"M";"C";44;0;120;0;727;600;"0"
"M";"C";42;0;24;156;514;1500;"0"
"F";"S";26;0;60;0;165;240;"0"
"M";"S";31;0;12;36;522;653;"0"
"F";"S";20;0;96;0;4;350;"1"
"F";"C";47;0;288;0;501;400;"0"
"M";"S";42;0;144;36;655;350;"0"
"F";"D";37;0;144;0;950;900;"0"
"F";"C";27;0;48;36;205;302;"0"
"F";"V";30;0;144;12;305;825;"1"
"F";"C";35;0;24;0;713;1233;"0"
"F";"S";25;0;120;24;654;204;"0"
"F";"C";45;0;144;0;950;1000;"0"
"M";"S";18;0;12;12;514;375;"0"
"F";"S";24;0;48;12;999;480;"0"
"F";"S";29;0;360;12;855;200;"0"
"M";"C";33;0;24;12;60;198;"1"
"F";"S";24;0;12;36;712;180;"0"
"F";"S";35;0;156;12;72;400;"0"
"M";"C";35;0;144;84;999;800;"0"
"F";"S";21;0;12;48;853;194;"0"
"M";"S";25;0;300;12;992;650;"0"
"M";"C";53;0;24;12;13;1329;"0"
"M";"O";24;0;12;0;999;1200;"0"
"F";"C";50;0;192;0;999;0;"0"
"F";"S";23;0;36;0;2;1200;"0"
"F";"S";58;0;216;0;13;934;"0"
"F";"V";58;0;108;0;703;380;"0"
"F";"C";41;0;12;240;501;200;"0"
"F";"C";57;0;36;180;999;600;"0"
"F";"S";57;0;240;48;13;1262;"0"
"F";"C";24;0;12;24;712;400;"0"
"F";"C";48;0;228;360;999;800;"0"
"F";"C";40;0;480;0;950;700;"0"
"F";"O";29;0;96;36;717;2000;"0"
"F";"C";22;0;12;12;60;205;"0"
"F";"C";49;0;588;12;205;350;"0"
"F";"S";39;0;120;0;999;500;"0"
"F";"S";50;0;60;12;351;342;"0"
"F";"S";22;0;264;0;26;208;"0"
"M";"S";18;0;156;24;922;590;"1"
"F";"S";22;0;12;12;999;370;"0"
"F";"C";53;0;120;60;123;550;"0"
"F";"S";25;0;240;60;60;400;"0"
"F";"C";54;0;300;144;13;1111;"0"
"F";"S";31;0;360;144;514;1334;"0"
"M";"C";58;0;108;12;13;3860;"0"
"F";"C";42;0;180;0;720;1200;"0"
"M";"S";23;0;276;48;514;1400;"0"
"M";"C";33;0;360;60;953;490;"0"
"F";"S";24;0;0;0;501;250;"1"
"F";"C";64;0;72;492;100;1500;"0"
"F";"V";54;0;240;0;704;439;"1"
"F";"O";43;0;240;12;26;203;"0"
"F";"S";20;0;240;36;950;1000;"0"
"M";"S";34;0;120;0;999;500;"0"
"F";"C";36;0;12;132;999;1432;"0"
"F";"V";70;0;12;24;703;180;"0"
"F";"C";37;0;96;60;501;500;"1"
"M";"C";29;0;120;24;521;452;"0"
"F";"S";35;0;144;72;950;650;"0"
"M";"S";20;0;0;12;26;278;"0"
"F";"C";52;0;180;312;712;804;"1"
"F";"S";23;0;276;0;40;200;"0"
"F";"S";30;0;360;0;525;298;"0"
"M";"C";36;0;108;108;79;500;"0"
"M";"C";42;0;144;132;864;550;"0"
"F";"C";59;0;48;12;13;860;"0"
"M";"S";23;0;0;0;950;300;"1"
"M";"S";24;0;288;12;39;305;"0"
"F";"S";21;0;96;12;38;713;"0"
"F";"S";22;0;168;24;712;480;"0"
"F";"C";34;0;12;12;205;320;"0"
"F";"C";53;0;120;120;123;450;"0"
"M";"S";21;0;108;12;26;180;"1"
"F";"C";33;0;312;84;113;1000;"0"
"M";"C";47;0;36;36;863;477;"0"
"M";"S";23;0;276;24;950;350;"0"
"M";"S";23;0;36;0;999;0;"0"
"F";"C";34;0;348;168;107;1240;"0"
"F";"C";34;0;48;192;654;1118;"0"
"F";"S";22;0;240;12;918;500;"0"
"M";"C";37;0;84;132;52;1200;"1"
"F";"C";27;0;24;12;712;766;"0"
"F";"C";38;0;72;24;205;400;"0"
"F";"V";41;0;36;0;853;390;"0"
"F";"S";18;0;216;0;999;285;"0"
"F";"S";58;0;36;48;13;1444;"0"
"M";"C";49;0;24;24;110;489;"0"
"F";"V";54;0;252;252;713;1738;"0"
"M";"C";49;0;300;12;515;1638;"0"
"M";"S";19;0;96;96;30;263;"0"
"M";"O";36;0;84;12;953;500;"0"
"F";"C";19;0;12;12;999;274;"0"
"F";"D";36;0;240;300;131;500;"0"
"F";"C";44;0;60;192;999;3567;"0"
"F";"C";34;0;168;48;305;1200;"0"
"M";"S";32;0;96;12;999;190;"0"
"F";"S";21;0;60;12;265;549;"1"
"F";"C";32;0;0;60;950;500;"0"
"F";"S";52;0;480;0;704;823;"0"
"M";"S";25;0;300;0;999;280;"0"
"M";"C";39;0;384;216;508;2500;"0"
"F";"C";48;0;240;120;19;1043;"1"
"F";"S";21;0;240;12;153;353;"0"
"F";"D";25;0;48;12;205;450;"0"
"M";"C";31;0;60;24;707;220;"0"
"M";"S";40;0;48;48;26;3083;"0"
"F";"S";25;0;24;0;250;714;"0"
"F";"S";21;0;96;24;24;300;"0"
"F";"S";18;0;216;24;205;360;"0"
"F";"D";34;0;240;12;950;700;"0"
"F";"C";38;0;240;12;999;400;"0"
"F";"S";29;0;84;12;999;266;"0"
"M";"S";19;0;96;12;999;364;"0"
"F";"S";21;0;252;24;807;215;"0"
"F";"C";21;0;12;36;950;300;"0"
"F";"C";54;0;48;0;999;0;"0"
"F";"V";59;0;288;12;704;800;"0"
"M";"S";24;0;276;12;63;180;"1"
"F";"C";40;0;240;156;38;735;"0"
"F";"S";23;0;144;24;654;300;"0"
"F";"S";37;0;12;12;708;1500;"0"
"M";"S";23;0;60;0;702;500;"1"
"F";"S";34;0;108;168;260;1000;"0"
"F";"S";23;0;252;0;40;383;"1"
"F";"C";30;0;180;12;999;400;"0"
"F";"S";27;0;12;12;62;800;"0"
"F";"C";52;0;96;12;205;530;"0"
"F";"S";25;0;180;12;310;341;"0"
"F";"S";29;0;348;12;32;776;"0"
"M";"S";19;0;84;12;26;462;"0"
"F";"S";47;0;24;24;165;450;"0"
"F";"C";19;0;12;24;165;300;"0"
"F";"S";18;0;204;108;950;250;"1"
"F";"C";72;0;312;0;13;582;"0"
"F";"C";42;0;48;228;712;1972;"0"
"M";"V";51;0;192;60;703;688;"0"
"F";"S";39;0;72;12;17;365;"0"
"M";"C";22;0;24;60;60;226;"0"
"F";"S";58;0;84;300;725;2753;"0"
"F";"C";39;0;120;0;999;0;"0"
"M";"S";24;0;60;24;999;737;"0"
"F";"C";29;0;36;120;38;511;"0"
"F";"S";24;0;0;0;205;350;"1"
"F";"C";46;0;84;0;999;180;"0"
"F";"C";34;0;12;12;720;673;"0"
"F";"C";31;0;24;144;514;1015;"1"
"F";"C";72;0;468;0;720;0;"0"
"M";"D";37;0;216;48;77;1000;"0"
"F";"C";43;0;48;168;525;270;"1"
"F";"S";48;0;156;240;717;2900;"0"
"F";"S";20;0;36;12;654;440;"1"
"M";"C";30;0;12;36;950;2285;"0"
"F";"C";40;0;24;144;924;5000;"0"
"F";"S";30;0;240;24;205;226;"0"
"F";"C";63;0;480;36;13;322;"0"
"F";"D";50;0;12;36;131;287;"1"
"F";"O";31;0;24;0;205;300;"0"
"M";"C";54;0;228;72;222;457;"0"
"M";"S";30;0;36;132;514;967;"0"
"M";"C";57;0;24;60;13;670;"1"
"F";"S";39;0;12;24;999;500;"0"
"M";"C";67;0;348;0;13;283;"0"
"M";"C";27;0;12;36;521;400;"0"
"M";"C";65;0;24;432;13;577;"0"
"F";"S";70;0;96;0;13;681;"0"
"F";"S";29;0;60;84;950;700;"0"
"M";"S";23;0;0;12;521;390;"0"
"F";"D";69;0;12;24;704;1500;"0"
"M";"S";35;0;144;24;522;746;"0"
"F";"C";41;0;192;0;720;0;"0"
"M";"S";40;0;60;12;999;200;"0"
"F";"S";34;0;144;12;863;567;"0"
"F";"S";28;0;240;12;66;180;"0"
"M";"D";72;0;120;0;13;612;"0"
"F";"S";32;0;12;0;999;300;"0"
"F";"C";55;0;312;204;713;1118;"0"
"F";"C";43;0;120;168;307;430;"0"
"M";"O";25;0;24;48;29;568;"0"
"F";"V";50;0;192;276;999;800;"0"
"M";"S";27;0;60;108;999;516;"0"
"M";"S";24;0;240;12;917;400;"0"
"F";"C";26;0;312;84;159;437;"0"
"F";"C";24;0;36;12;720;618;"0"
"F";"S";30;0;240;48;918;874;"0"
"F";"S";32;0;24;24;35;404;"0"
"M";"D";55;0;72;84;13;1300;"0"
"F";"S";32;0;12;0;999;270;"1"
"M";"S";20;0;12;24;26;423;"0"
"F";"S";35;0;48;12;26;240;"0"
"M";"C";54;0;84;0;13;1109;"0"
"F";"S";19;0;132;12;999;350;"0"
"M";"S";24;0;240;24;26;220;"0"
"F";"C";43;0;240;12;853;1000;"0"
"F";"S";21;0;252;12;712;180;"1"
"F";"S";47;0;60;120;13;777;"0"
"F";"V";26;0;12;0;703;280;"0"
"F";"S";25;0;12;60;251;230;"1"
"M";"S";18;0;180;12;999;240;"0"
"F";"C";31;0;36;36;312;500;"0"
"F";"C";23;0;120;12;30;268;"0"
"F";"S";24;0;12;12;999;220;"0"
"F";"C";23;0;24;0;992;410;"0"
"M";"C";43;0;84;0;999;400;"1"
"M";"S";22;0;108;48;60;278;"0"
"M";"O";28;0;120;120;521;450;"0"
"F";"C";32;0;48;0;720;0;"0"
"F";"S";30;0;360;60;950;600;"0"
"M";"C";36;0;96;144;508;560;"0"
"M";"C";26;0;24;0;139;478;"1"
"F";"O";35;0;24;24;55;1602;"0"
"F";"S";32;0;120;24;60;350;"0"
"F";"S";34;0;120;12;266;332;"0"
"F";"S";19;0;228;12;950;220;"0"
"F";"S";23;0;96;12;26;221;"0"
"M";"S";24;0;288;36;24;550;"0"
"F";"C";28;0;72;192;131;350;"0"
"F";"C";65;0;444;60;13;180;"0"
"F";"C";64;0;48;0;13;391;"0"
"M";"S";19;0;228;24;505;740;"0"
"F";"S";21;0;252;12;908;354;"0"
"F";"C";24;0;12;12;60;195;"0"
"F";"V";47;0;84;120;704;3500;"0"
"F";"C";45;0;300;120;712;772;"1"
"M";"S";27;0;108;12;514;595;"0"
"F";"S";20;0;60;72;712;360;"0"
"F";"S";18;0;12;12;950;310;"0"
"F";"S";26;0;240;60;999;220;"0"
"F";"S";41;0;108;60;999;2000;"0"
"F";"S";40;0;84;48;100;1000;"0"
"M";"S";31;0;24;12;512;732;"0"
"M";"C";25;0;84;12;999;540;"0"
"F";"D";35;0;324;0;4;595;"0"
"M";"S";27;0;36;0;999;200;"0"
"F";"C";51;0;300;0;720;0;"0"
"F";"S";19;0;48;0;24;260;"0"
"F";"S";28;0;336;12;4;280;"0"
"F";"D";34;0;120;0;999;418;"1"
"M";"S";37;0;240;72;864;340;"0"
"F";"S";21;0;120;12;999;300;"1"
"F";"O";51;0;180;12;13;839;"0"
"M";"S";30;0;360;12;222;330;"0"
"M";"S";26;0;252;180;953;430;"0"
"M";"C";36;0;60;192;801;1200;"0"
"F";"S";20;0;240;36;950;300;"0"
"F";"S";19;0;96;0;18;280;"0"
"M";"S";19;0;228;12;63;300;"0"
"F";"S";20;0;24;12;801;260;"0"
"F";"C";37;0;360;156;713;0;"0"
"M";"C";59;0;300;96;13;1878;"0"
"M";"S";17;0;204;12;26;180;"0"
"M";"C";34;0;12;12;950;1200;"0"
"F";"S";19;0;60;84;950;600;"0"
"F";"C";42;0;240;72;950;450;"0"
"F";"S";23;0;60;0;950;200;"0"
"M";"S";25;0;120;60;514;1000;"0"
"F";"C";28;0;48;12;218;700;"0"
"F";"S";45;0;60;48;205;220;"0"
"F";"S";31;0;36;36;26;220;"0"
"F";"S";27;0;144;36;950;250;"0"
"F";"C";23;0;264;12;205;220;"1"
"F";"C";30;0;12;24;950;356;"0"
"F";"C";37;0;216;216;131;700;"0"
"F";"C";51;0;12;0;72;500;"0"
"F";"S";46;0;120;12;918;617;"0"
"F";"S";21;0;0;0;60;300;"0"
"F";"S";22;0;36;0;29;350;"0"
"F";"O";39;0;240;144;205;450;"0"
"F";"C";37;0;216;12;38;2037;"1"
"F";"C";20;0;120;0;24;360;"0"
"F";"S";21;0;228;12;853;411,34;"0"
"F";"C";46;0;216;180;113;1300;"0"
"F";"S";29;0;72;72;60;328;"0"
"M";"O";31;0;12;12;305;900;"0"
"M";"O";60;0;108;0;13;736;"0"
"F";"S";29;0;60;48;44;350;"0"
"M";"S";56;0;60;12;39;214;"1"
"M";"C";25;0;300;12;952;550;"0"
"F";"C";33;0;156;156;713;604;"1"
"F";"C";40;0;72;0;999;1818;"0"
"M";"C";51;0;60;48;12;1524;"0"
"M";"S";27;0;120;96;999;573;"0"
"M";"C";40;0;60;24;732;1300;"0"
"F";"C";36;0;60;48;712;1106;"0"
"F";"S";37;0;180;0;919;600;"1"
